Influencer ID,Total Faces,Average Performance,Representative Face
hd-606237444463640,6,1.1599,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-606237444463640.jpg
hd-605272664726548,6,1.4393,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-605272664726548.jpg
hd-6046690562050296,6,0.2606,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6046690562050296.jpg
hd-604285914607200,0,1.2,
hd-604041931565137,5,1.5304,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-604041931565137.jpg
hd-603099807587246,0,0.4917,
hd-911926190614858,8,0.2123,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-911926190614858.jpg
hd-911482386703699,17,1.887,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-911482386703699.jpg
hd-911172609864769,6,1.9529,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-911172609864769.jpg
hd-910958533691058,6,0.8536,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-910958533691058.jpg
hd-909937876815529,17,0.8701,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-909937876815529.jpg
hd-909110383822260,6,1.517,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-909110383822260.jpg
hd-909067460285978,17,0.3052,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-909067460285978.jpg
hd-907416560296782,6,0.5691,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-907416560296782.jpg
hd-906909830682725,17,0.9162,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-906909830682725.jpg
hd-906506897404894,4,0.5857,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-906506897404894.jpg
hd-905844110841635,17,0.9664,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-905844110841635.jpg
hd-905739711170399,11,0.239,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-905739711170399.jpg
hd-905545323817883,17,2.1973,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-905545323817883.jpg
hd-904815481005158,0,2.2575,
hd-904480964010630,2,2.2526,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-904480964010630.jpg
hd-904174908300812,7,0.2472,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-904174908300812.jpg
hd-903960640750545,0,0.7601,
hd-903913985069116,2,0.826,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-903913985069116.jpg
hd-903060767715541,6,0.3204,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-903060767715541.jpg
hd-902843234362370,17,1.2998,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-902843234362370.jpg
hd-902456848100089,6,1.3935,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-902456848100089.jpg
hd-902309670925392,17,1.175434933,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-902309670925392.jpg
hd-9020567984620018,17,1.757556056,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-9020567984620018.jpg
hd-901695498551491,0,0.9215848452,
hd-901272811190482,2,0.1466684601,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-901272811190482.jpg
hd-899987727789409,6,0.2497496933,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-899987727789409.jpg
hd-8995485367146316,0,0.9217469743,
hd-899155277883965,6,0.9405613652,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-899155277883965.jpg
hd-898967424867870,17,1.255987728,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-898967424867870.jpg
hd-898402801287469,6,0.6091829314,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-898402801287469.jpg
hd-898103501380741,17,1.735788341,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-898103501380741.jpg
hd-897680994566577,6,1.516110587,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-897680994566577.jpg
hd-897088088160051,17,0.6604379065,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-897088088160051.jpg
hd-896843165102015,6,0.2127666108,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-896843165102015.jpg
hd-896598988012982,6,0.1530842734,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-896598988012982.jpg
hd-896589688256009,17,0.08417205362,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-896589688256009.jpg
hd-895042408159688,17,0.7829078515,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-895042408159688.jpg
hd-894559812351386,1,0.8012602308,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-894559812351386.jpg
hd-894559522288371,11,0.07429619549,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-894559522288371.jpg
hd-894457734962164,17,1.074046466,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-894457734962164.jpg
hd-894066258497958,17,1.590969489,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-894066258497958.jpg
hd-893539262677484,3,0.9923802883,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-893539262677484.jpg
hd-893173505441981,17,0.8214933286,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-893173505441981.jpg
hd-892383375224287,17,0.1074778487,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-892383375224287.jpg
hd-891684945300160,6,0.2380960316,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-891684945300160.jpg
hd-891661008828094,17,0.3145898018,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-891661008828094.jpg
hd-891391212618023,0,1.074473516,
hd-890166872024685,17,0.8803536266,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-890166872024685.jpg
hd-890005255637433,6,0.4822262029,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-890005255637433.jpg
hd-889728479746704,3,1.268589469,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-889728479746704.jpg
hd-889604775414234,6,0.832272224,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-889604775414234.jpg
hd-889375178765113,6,1.772122031,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-889375178765113.jpg
hd-888593019388197,0,0.8701819665,
hd-888183703182855,5,1.78787897,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-888183703182855.jpg
hd-888062106715252,14,0.2966681915,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-888062106715252.jpg
hd-888056015719840,6,0.1758764957,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-888056015719840.jpg
hd-887363366529815,2,1.700860723,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-887363366529815.jpg
hd-886609482926268,8,0.3332335537,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-886609482926268.jpg
hd-886049645973007,6,0.9395324934,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-886049645973007.jpg
hd-885689066019680,17,0.9711602271,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-885689066019680.jpg
hd-885670366433640,0,0.3357867941,
hd-885209946993560,0,0.3006670346,
